일주,항목,내용,남자,여자,조건,결과,조건식
癸酉,12,법정계. 교육계. 기획 파트에서 뛰어남을 과시하는 편이지만 기대만큼 결실이 따르지 않는 편이다. 실업가의 유형은 아니지만. 문화. IT(정보) 의약. 의류 계통이라면 적합하고. 디자이너. 이미용사. 재단사. 양조업 등에서도 종종 발견된다.,,,,,
癸酉,13,◈ 일주론 해석 - 癸酉 (계유) 일주 </br></br>인수가 병지이자 제왕인 계유일생은 모친의 영향력이 지대한 사람입니다. 어머니의 지나친 간섭이 때로 갈등의 소지가 되기도 하지요. 어쨌거나 이 사람은 깔끔하고 결백한 성정에 미모를 갖춘 경우가 많습니다.</br>야망은 크지만 재관이 사지로 재운이나 관록은 발하지 않는 편입니다. 식소다번이지요. 그래서 전문 분야를 택해 공부하고 노력하는 게 상책입니다.</br>유인성은 칼자국을 암시합니다. 그래서 수술수가 있습니다. 묘운에 생병충하면 현침의 수술 물상이 나타나기 쉽습니다. 이성운도 박한 편이고 연애가 수월치 않습니다. 대개 배우자의 성정은 다정하지만 병약하고 생사별할 가능성이 있습니다.</br>결론적으로 계유일생은 식재관이 다 무력합니다. 오직 자신의 재치와 수완으로 장래를 개척해 나가는 게 상책입니다. ,야망이 크고 근기가 있어 대성하는 경우가 있는데 이때의 처덕은 대단합니다. ,여명은 남편에게 순종하는 기질이 아닙니다. 또 난산의 우려가 있고 육친의 덕은 전반적으로 박한 편입니다.,갑오. 무오. 기미시가 아니면 ,좀체 상격이 될 가능성이 희박해집니다. 하격은 처에 의지하며 사는 백수 기질이 나타나며 변덕과 변화가 많은 인생이 펼쳐질 공산이 큽니다.,if (sj_ganji.substr(6,2)!=='甲午' && sj_ganji.substr(6,2)!=='戊午' && sj_ganji.substr(6,2)!=='己未'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲戌,01,매사에 결실의 조건을 갖고 있는 모양이라 성품이 원만하고 성공의 길로 이르는 행동을 하는 모양입니다. 남녀 공히 재물 인연이 깊고 사업성을 지니고 있으니. 평생 재물 복이 원만할 운입니다. 초년에 재물복이 약하더라도 세월이 흘러가면서 재물길이 순조로워 지는 운입니다. 지도자 길이나 조직. 직장길을 열 때는 애를 먹는 수가 많습니다. 가을의 쓸쓸함과  적멸의 별이 있어 일가에 육친의 상실이나 쇠몰로 인한 아픔을 않고 사는 경우가  많습니다. 명랑성과 우울함이 조화를 이루니 어려움이 와도 쉽게 이겨내고  세속적인 융통성도 항상 발휘할 수 있습니다. 범띠. 말띠. 개띠생은 일신에 고독이 이르는 수도 있습니다.,,,,,
甲戌,02,대체로 부친인연이 좋을 운이나 부친의 기운이 강해 부친과의 갈등 우환으로 성장기나 결혼시기에 갈등을 겪는수가 있습니다. 모친 인연에도 짧거나 갈등을 겪는수가 있고. 남녀 모두 자식운 순조로울 운에 간혹 자식으로 인한 근심. 걱정이 따르는수도 있습니다,남자의 경우 소년 연애 있어보게 되고. 일등 배우자를 만나지 못하는 수도 많지만 그래도 여자 인연은 좋은 편에 속한다 하겠습니다. ,여자의 경우는 남편 인연 순조로울 운에 남편의 출세를 도와주게 됩니다. ,팔자에 토의 글자가 거듭 있으면. ,두 아버지를 두거나 결혼이 늦어질수 있습니다. ,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲戌,03,학교길은 학마가 따르는 운에. 인내 노력보다 두뇌에 의존한 공부를 하므로 막판에 치르는 시험에 약한 경우가 많습니다. 비록 소년기에 게으름으로 갈등을 겪더라도 기질 상 뜻이 크므로 재수. 삼수를  통해서라도 좋은 학교에 인연을 이루는 경우도 많습니다,남자 성공의 전공길은 재물에 관한 공부. 상과. 공학. 전문기술 등이 됩니다.  ,성공의 전공길은 여자의 경우는 상과. 예능. 전문 기술 등에 전공을 이룹니다.  ,,,
甲戌,04,남녀 공히 배우자 인연 원만하고 연애도 빠르며 이성에도 일찍 눈뜨게 되어 소년 연애 있는 경우가 많습니다. ,남자의 경우는 옳은 배필의 결정에 부모의 간섭이나 여자관계로 인한 갈등을 겪는 수도 있습니다. </br>남자의 좋은 배필 인연은 소띠. 범띠. 뱀띠. 말띠. 양띠. 개띠 여자가 좋은 인연입니다. ,여자의 경우는 배우자 인연도 순조롭고 결혼 이후에도 무난한 결혼 생활을 할 수 있습니다. </br>좋은 배필 인연은 여자는 쥐띠. 소띠. 범띠. 양띠. 닭띠. 돼지띠 남자가 좋은 인연입니다. ,남자의 경우 팔자에 토의 글자가 거듭 있으면. ,처음 결혼에 갈등으로 두 번 이상 결혼하게 되거나 악처로 인하여 고생하는 수가 있습니다. ,if (gendr === '남양' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲戌,04a,,,,여자의 경우 금이 없는 팔자는. ,결혼이 늦어지는 경우가 많고 결혼 전에 임신을 하게 되는 수도 있습니다. ,if(gendr === '여음' && nr_oh4<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲戌,05,조직 직장 길보다 자기 사업 성향이 강하므로 조직 직장길로 가다가도 자기 사업을 하는 경우가 많으며 여자도 본인이 직접 사업을 하거나 남편이 사업가인 경우가 많습니다. 자기 사업 인연이면 토건업. 전기 전자 관련분야. 화학분야 등으로 대체로 규모가 크기 때문에 사업 규모도 크게 성패가 오가는 경우가 많습니다. 도덕성과는 조금 거리가 먼 사업을 하기 때문에 가끔씩 관재. 시비. 구설을 만나는 경우가 많습니다.,,,팔자에 금이 많으면. ,조직. 직장길 성분을 가지게 되니 타인의 재물을 관리하는 금융권 회사. 토건. 금속. 용역. 문화 관련 직장 등에 인연이 깊습니다. ,if(nr_oh4>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
甲戌,06,재물길의 성패로 인한 즐거움이 많고 어려움이 와도 능히 극복하여 다시 일어설 수 있는 힘이 있습니다. 재물길에 성공이 오면 남자는 애인이나 첩을 두려 하고. 여자는 규모를 계속 늘리는데 신경을 쓰게 되어 고통을 좌초하는 경우가 많습니다.  평생에 주의를 기울여야 할 것입니다.,,,,,
甲戌,07,독산의 고목이니 이 사람은 홀로 우뚝 서서 지도자의 기상을 나타내고. 창고에 목재를 쌓는모습으로 이재에 밝으니 실업을 일으켜 예사롭지 않은 성취를  보게 됩니다. 그러나 추목의 잎이 떨어지는 것은 자연스러운 이치라 독단으로 처리한 일이 낭패를 보기 쉽습니다. 그래서 신앙을 가지고 수양을 쌓는 노력을 하게 됩니다. 의약계나 활인업과 인연이 많습니다.,,여성은 유산. 낙태 등의 산액을 격을 수도 있습니다.,,,
甲戌,08,11 甲戌 (辛9 丁3 戊18)</br>養 철쇄개금(鐵鎖開金) 현침(懸針)</br></br>甲辰 일주가 투기적인 사업을 일으키고. 문서의 차익을 노린다면. 甲戌은 보다 보편적인 실업의 형태로 보아야 한다. 상관(傷官) 丁火의 화개지(華蓋地) 배속(配屬)은 종교와 신심(信心)이 깊음을 암시하고 辛金 정관(正官)의 파극(破剋)은 관액(官厄)을 예고한다. 이익이 되면 불의(不義)와도 타협할 수 있는 속성을 내포하고 있다. 타인을 원망하고 언중유골(言中有骨)을 보게 된다. 활인(活人)으로 액(厄)을 면하기 쉬운데 천의(天醫)라. 의약계(醫藥界)에 인연이 많다.,독산고목(禿山枯木)의 상은 자신이 왕이니 지도자의 상으로 이재능력(理財能力)은 뛰어나고 일확천금(一攫千金)의 운기가 감돌지만 고독감은 떨치기 어렵다. 독단(獨斷)으로 일을 처리하는 피해 입는 경우가 많으니 수양(修養)이 필요하다. 성실하고 할 일을 미루지 않는다. 형(刑)이 들면 처궁(妻宮)에 신병(身病)이 들거나. 개종(改宗)하기도 한다. 사업을 크게 일으켜 비범한 성취를 보기도 하며 실패할 경우에는 야반도주(夜半逃走)키도 하는 것이다.,女命의 자좌관고(自坐官庫)로 남자를 우습게 여기는 여장부 (女丈夫)의 기상이 드러나고 이성을 보는 눈이 높은 페미니스트로 실제 남편은 기대 이하로 나타난다. 甲午. 甲戌 일주는 다소 과장하는 경향이 있다. 수단이 능하고 타인에게 호감을 주지만 계(契)는 하지 말라고 했다. 유산. 낙태 등의 산액(産厄)이 두렵고. 피부 트러블이나 위장병을 얻을 우려가 있다. 남편의 덕을 보기는 어렵고 남편에게 잘 하기도 하면서 무시하기도 하는 복잡한 성향을 보인다. ,,,
甲戌,09,1. 남자는 자식 문제. 여자는 남편 문제로 고민을 갖게 되는 일주다.,2. 처(妻)의 질병이나 신앙 문제로 신경 쓰게 되고. 장모(丈母)를 봉양한다.,3. 여명(女命)은 본인이 벌어 남편을 먹여 살리며. 혼전에 임신하는 일이 많다 ,,,
甲戌,10,,男命은 애정(愛情)이 좋고 평균적 횟수를 요구하며 극히 자연스럽게 화합(和合)하여 서로 즐겁게 만족하는 담백한 타입이다. 처(妻)의 질병이나 건강이 문제가 될 수 있다.,女命은 욕구가 대단히 격렬할 때와 담백할 때가 교차하는 유형으로 여성상위를 지향한다 ,,,
甲戌,11,甲戌일주는 간. 담. 시력. 두통. 위장에 병이 온다. 철쇄개금(鐵鎖開金)은 활인(活人)을 해야만 액(厄)을 면한다. 목이 탄 형상으로 인후병(咽喉病)을 얻을 수 있다.</br>甲: 쓸개. 머리. 수염. 머리카락</br>戌: 명문(命門). 복숭아 뼈. 자궁. 폐(肺) ,,,,,
甲戌,12,일지(日支) 학마(學魔)로 실력만큼 학업적인 진로가 잘 열리지 않으나. 이재(理財)에는 밝아 재정 계통이면 출세가 빠르다. 천문(天門). 천예(天藝)는 활인(活人) 계통의 의약계. 종교인. 역술인. 법조계 등의 진로를 암시하는 바가 있다.,,,,,
甲戌,13,◈ 일주론 해석 - 甲戌 (갑술) 일주 </br></br>갑술일생은 일반적으로 사업가의 명으로 나타날 때가 많습니다. 무엇보다 재고를 깔았고 또 상관 정화가 이를 생하는 구조이기 때문입니다. 만약 갑술이 아닌 갑진이라면 겁재와 편재가 동림하므로 이때는 투기적인 사업 형태를 보일 때가 많겠지요.</br>상관은 양지. 천살에 속하므로 태생적으로 종교나 신앙. 신심이 깊음을 암시합니다. 술중의 신금. 관성은 양지이자. 관대의 매트릭스 구조를 띱니다. 이처럼 상관견관의 형태를 띠면 이 사람이 공직에서 물러나 창업하는 수순을 밟는 사례가 많습니다. 혹은 의약업계의 종사자라면 술토의 양지. 물상에 그대로 부합되는바 오래도록 일관된 경력을 유지할 수 있습니다.</br>한마디로 남자는 자식문제. 여자는 남편 문제로 고민을 갖게 되는 일주입니다. </br>일시의 술토와 축토는 양지와 관대의 형이 성립됩니다. 이는 종래 사회복지 방면으로의 진로 변화를 암시합니다.,남명은 결론해서 장점은 이재 능력이 강한 것이고. 단점은 관액이 있다는 얘깁니다. 팔자에 형이 들면 사업을 크게 일으켜 비범한 성취를 보다가도 실패하면 야반도주를 해야 할 지경에 놓이기도 합니다. 파산이 아니면 처궁에 깊은 병이 들고 개종합니다.,여명에서 자식궁 동태를 살피면 일시 공희 식상이 양지에 놓이는 상황을 파악할 수 있습니다. 타자양육. 육영사업에 특히 힘을 쏟게 됩니다. 여성은 남자를 우습게 보는 경향이 있고. 간혹 과장이나 독설을 할 때가 있습니다. 상관은 재관을 보았기에 아우생아의 형태로 허약한 아이를 두기 쉽습니다. 여기에 형이 들면 관식동림의 혼전임신으로 유산이나 낙태 등의 산액이 두렵습니다 ,갑술일생이 을축시에 났다면. ,생시 관고를 놓아 남자는 자식. 여자는 남편과 생사별이 불가피 할 겁니다.,if (sj_ganji.substr(6,2)==='乙丑'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙亥,01,명랑성보다 침착성이 앞서는 모양으로 인내심이 있고. 매사에 끈기로 적응하는 성품입니다. 고로 만인의 지도자 성품인데 사회적 지도자가 아닌 정신적  지도자 격이라 종교. 교육. 육영. 심리 등에 지도자가 좋습니다.  침착하고 매사에 인내심이 있어 오랜 노력.  종교적인 수행 등에도 적응할 수 있는 성격이며. 어떤 상황이 와도 침착하게  잘 극복해 나갑니다.  타인과의 처세에 있어서도 원만하고 부드러운  처세를 합니다,,,가을. 겨울 태생은. ,소년 성장기에 몸이 메마르거나 건강 침체가 오는 수 있으니 주의해야 합니다.  ,if(sj_mj==='申' || sj_mj==='酉' || sj_mj==='戌' || sj_mj==='亥' || sj_mj==='子' || sj_mj==='丑'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙亥,02,모친이 배우자 자리까지 따라오는 모양이라 어머니의 간섭. 사랑이 지나친 모양입니다. 오히려 그것 때문에 마음의 고통을 받는 수가 있습니다. ,남자의 경우 어머니의 지나친 간섭으로 결혼이 늦어지든지 갈등이 지날 수 있는 운입니다. 자식운 남자는 아들. 딸 고른 편입니다.  ,여자는 어머니의 간섭으로 대체로 유정한  남편 인연을 만나는 운입니다. ,팔자에 수가 거듭 있으면. ,부모 간에 갈등. 풍파 등이 지나가는 수가  있습니다. ,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙亥,02a,,,,여자의 경우 수가 많으면. ,딸이 많고. 아들이 드물며 시력이 약한 자식들이 많이 옵니다. ,if(gendr === '여음' && nr_oh5>2){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙亥,02b,,,,여자의 경우 팔자에 화가 없으면. ,불구 자식이 올수도 있습니다.,if(gendr === '여음' && nr_oh2<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
乙亥,03,인내심이요 끈기가 있어 세월이 흐르면서 공부가 점차 발전하여 끝내는 좋은 결실을 이룩하는 운입니다. ,성공의 전공길로 남자는 행정학. 인문과학. 어학. 활인관련 (철학. 종교. 한의학) 분야 등이 좋습니다. ,성공의 전공길로 여자는 어학. 예능. 인문과학. 자연과학. (천문학. 지리학) 등이 좋습니다. ,팔자에 화가 없으면. ,인내 노력을 하더라도 발휘가 저조하여. 소년에 학마를 겪는 수가 있습니다. ,if(nr_oh2<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
